Solution,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
48,0.116535,1,0.237026,0.13327,0.053943,1.029784,0.035746,0.015084,0.032522,0.07833,0.018111,0.814747,3.132696,1.818665,1.880958,0.073917,0.102574,0.037883,0.429665
49,0.138991,1,0.232813,0.095904,0.001042,0.977789,0.074496,0.002681,0.047579,0.025497,0.009572,3.034102,4.506061,2.343441,2.26401,0.134069,0.087666,0.028166,0.362827
50,0.074402,1,0.234583,0.130372,0.056943,1.030025,0.048646,0.067922,0.04951,0.009487,0.006747,2.766219,2.476661,1.925984,2.687613,0.130312,0.120092,0.086558,0.387239
51,0.100835,1,0.296333,0.117818,0.032782,1.014546,0.003495,0.013426,0.020426,0.012081,0.047766,0.33446,1.127889,0.628752,2.267323,0.088139,0.121775,0.037647,0.382598
52,0.120603,1,0.265468,0.116192,0.038205,0.981547,0.041876,0.01925,0.021003,0.051306,0.003653,2.634441,1.937948,2.129255,1.743283,0.075674,0.084312,0.066547,0.409771
53,0.080332,1,0.231633,0.072552,0.032097,0.988893,0.051495,0.074994,0.047622,0.070345,0.022382,0.847212,4.212097,0.177234,2.404747,0.107854,0.08316,0.024693,0.37397
54,0.072182,1,0.296641,0.13668,0.029495,0.958737,0.039392,0.014026,0.037324,0.01966,0.03641,3.872205,2.607744,2.228905,1.521748,0.119471,0.074226,0.03706,0.400586
55,0.084831,1,0.275166,0.066131,0.016716,1.011256,0.049218,0.052928,0.033921,0.065469,0.002305,0.275115,1.533341,1.833608,0.631543,0.117859,0.117274,0.05793,0.405845
56,0.136694,1,0.272197,0.094688,0.016812,0.953562,0.051343,0.015547,0.021467,0.033649,0.016198,2.727171,1.921424,0.751363,2.485843,0.098172,0.077219,0.050709,0.406369
57,0.112284,1,0.275568,0.132867,0.043974,1.030088,0.00375,0.003247,0.022971,0.057045,0.036189,3.570636,3.119052,3.197819,2.244146,0.102854,0.065699,0.029717,0.384318
58,0.07291,1,0.229048,0.103997,0.057092,0.974428,0.049093,0.004237,0.01956,0.027457,0.015095,4.093695,0.78015,3.467944,0.581338,0.086593,0.111674,0.070093,0.388483
59,0.153517,1,0.291051,0.109291,0.00881,0.952949,0.072895,0.024747,0.014723,0.060292,0.000073,2.459798,3.726736,2.041891,0.347936,0.112937,0.058082,0.04802,0.388261
60,0.105543,1,0.273392,0.078545,0.0067,1.020051,0.05821,0.030424,0.064575,0.051562,0.053214,0.979589,3.553433,1.45505,0.223579,0.071367,0.085844,0.045765,0.375233
61,0.076692,1,0.266734,0.08967,0.019048,0.95205,0.052466,0.054805,0.061898,0.056584,0.048473,3.764044,1.149863,0.542132,0.573985,0.106718,0.066611,0.013949,0.378256
62,0.109275,1,0.221535,0.060303,0.037168,1.011628,0.005626,0.08073,0.001384,0.069463,0.051781,3.234006,2.830495,2.36886,0.314768,0.09456,0.080611,0.058825,0.383379
63,0.144608,1,0.280768,0.098313,0.012244,0.950841,0.069422,0.081264,0.050358,0.041618,0.037971,2.789307,2.32796,1.901852,1.928923,0.085427,0.057495,0.062097,0.395181
64,0.085734,1,0.282497,0.115245,0.008049,0.951838,0.011512,0.080868,0.024612,0.072663,0.05747,3.146346,2.114073,1.351138,0.245819,0.125567,0.077247,0.04859,0.38811
65,0.11269,1,0.260779,0.104843,0.048741,0.978651,0.008561,0.008057,0.063688,0.007986,0.054846,0.879547,4.095276,1.655946,2.220641,0.078449,0.103776,0.034289,0.373009
66,0.130407,1,0.283576,0.062964,0.060567,0.98081,0.074694,0.031564,0.053586,0.057688,0.005257,1.971707,3.282835,3.046476,0.683485,0.142428,0.074847,0.036105,0.416154
67,0.123347,1,0.257744,0.099063,0.042757,0.965689,0.052229,0.005471,0.001091,0.034585,0.053312,0.234093,2.868697,1.0624,2.763572,0.140423,0.112281,0.038025,0.418348
68,0.113062,1,0.301147,0.108652,0.057937,1.008741,0.016863,0.077656,0.064026,0.02511,0.052105,1.29491,0.662505,1.294266,1.132283,0.136902,0.106599,0.075017,0.406474
69,0.14433,1,0.269277,0.126475,0.007353,1.034985,0.013083,0.051561,0.042743,0.053569,0.035577,1.859209,1.481383,1.371289,0.423565,0.096868,0.092211,0.054665,0.411904
70,0.152719,1,0.305177,0.125187,0.044728,0.98369,0.024938,0.014438,0.034793,0.077136,0.006672,3.903485,1.526533,3.344346,1.298259,0.12226,0.06474,0.058,0.357688
71,0.102334,1,0.29026,0.091481,0.020101,1.008029,0.010949,0.038081,0.015916,0.035328,0.044812,0.25286,2.154781,0.698071,2.291212,0.119746,0.101838,0.020541,0.386148
72,0.092541,1,0.219698,0.093559,0.058214,1.011931,0.001675,0.00617,0.029383,0.033059,0.04567,0.314965,3.83446,0.796122,2.491855,0.113563,0.094157,0.043097,0.394059
73,0.069022,1,0.295754,0.106593,0.053588,1.01135,0.056463,0.028861,0.018217,0.082271,0.023898,1.863774,2.675446,2.535553,2.600816,0.112797,0.082074,0.024966,0.361049
74,0.121392,1,0.28245,0.138461,0.009228,1.02856,0.017976,0.062207,0.058616,0.076032,0.025028,3.099139,2.92742,2.052623,0.268964,0.121628,0.109877,0.034178,0.389157
75,0.137335,1,0.259024,0.118782,0.037267,0.983199,0.024714,0.039801,0.006295,0.057051,0.051143,0.993713,1.796629,0.66053,1.790045,0.123227,0.100235,0.022844,0.416943
76,0.0682,1,0.240949,0.054688,0.028334,1.03256,0.023809,0.056318,0.042237,0.050189,0.042547,2.23244,3.238252,0.512377,2.356455,0.093136,0.07193,0.024262,0.399001
77,0.152649,1,0.269863,0.097416,0.023911,0.955377,0.028714,0.014851,0.067542,0.075382,0.023094,1.83793,2.505684,3.581196,0.633459,0.091331,0.110119,0.086029,0.377086
78,0.147551,1,0.301061,0.082949,0.061235,0.970396,0.028118,0.073442,0.007534,0.030107,0.029384,1.643033,2.352808,2.379905,1.654163,0.128751,0.080838,0.022196,0.393579
79,0.064565,1,0.299812,0.080006,0.034598,0.964744,0.0459,0.011409,0.046763,0.037972,0.005505,1.838766,3.091217,1.910458,2.303126,0.130079,0.087226,0.083983,0.355955
80,0.138111,1,0.301339,0.100241,0.057168,0.982629,0.054712,0.062525,0.053473,0.01024,0.039351,3.45262,2.482335,1.223249,0.739019,0.085262,0.07788,0.028291,0.412392
81,0.082382,1,0.277875,0.083414,0.0233,1.031209,0.037559,0.069349,0.029838,0.069934,0.018017,3.898031,3.64968,2.906544,2.666113,0.119111,0.130281,0.019603,0.376571
82,0.144516,1,0.303071,0.057645,0.028025,0.953291,0.070654,0.039702,0.011363,0.006022,0.040803,0.209412,1.504467,0.316137,2.275098,0.077078,0.113114,0.066644,0.416087
83,0.149364,1,0.262727,0.088034,0.021527,0.985569,0.0757,0.080932,0.017067,0.017805,0.037705,1.374191,3.256184,2.377614,2.287586,0.129092,0.081668,0.011786,0.35296
84,0.074256,1,0.256528,0.099007,0.043727,1.034206,0.016646,0.078581,0.062312,0.009252,0.031261,3.442897,0.651858,2.027543,0.74732,0.134134,0.135526,0.080989,0.397018
85,0.150103,1,0.264732,0.081332,0.050414,1.001077,0.004886,0.019466,0.003636,0.08045,0.021702,1.201647,3.278259,2.570217,0.586802,0.091767,0.121322,0.066053,0.423247
86,0.128505,1,0.287766,0.104987,0.05186,1.018775,0.008359,0.05767,0.03949,0.083634,0.006381,1.599268,4.288404,2.853821,1.491963,0.1201,0.101243,0.059711,0.397889
87,0.153164,1,0.274473,0.127485,0.031119,1.00681,0.041052,0.052832,0.028396,0.036918,0.004888,3.845522,3.325699,3.548109,2.390853,0.088792,0.086103,0.06619,0.357833
88,0.138307,1,0.236681,0.060965,0.009085,1.005007,0.054669,0.003173,0.029056,0.063391,0.035408,3.979235,1.132291,0.672082,1.263614,0.114154,0.09737,0.065451,0.384923
89,0.142763,1,0.232712,0.118024,0.054389,1.033233,0.010388,0.046882,0.021076,0.032807,0.042042,1.33945,1.591872,2.645587,0.723181,0.072401,0.05604,0.040422,0.391194
90,0.152933,1,0.294756,0.086005,0.044407,0.988663,0.063693,0.00714,0.036493,0.007742,0.026808,3.941069,4.496436,1.334442,2.215026,0.100545,0.102926,0.043925,0.367282
91,0.109336,1,0.218154,0.094789,0.059638,1.006369,0.047628,0.047801,0.046304,0.065785,0.011407,1.965522,2.876628,0.253198,2.734839,0.125745,0.093868,0.023964,0.403712
92,0.064665,1,0.264363,0.100394,0.056092,0.951889,0.040593,0.03955,0.006007,0.017728,0.013447,1.761484,2.271543,3.186463,1.150228,0.124982,0.122638,0.086285,0.384739
93,0.124925,1,0.237895,0.065974,0.025056,0.967233,0.019867,0.00495,0.035976,0.012799,0.031051,0.800054,1.801453,2.324629,2.360125,0.071869,0.110895,0.077187,0.383886
94,0.081696,1,0.295385,0.07902,0.026317,1.016399,0.05543,0.041095,0.052324,0.065031,0.056144,3.787349,3.819303,3.339122,1.619377,0.111399,0.075628,0.059893,0.389431
95,0.098069,1,0.30283,0.06579,0.051762,1.004638,0.036221,0.061486,0.007366,0.029189,0.032663,3.115867,1.589321,1.721687,0.562269,0.074314,0.064268,0.02205,0.393284
96,0.140519,1,0.254195,0.057924,0.04449,0.968461,0.067958,0.058631,0.029105,0.071553,0.001408,3.825421,4.056225,0.126812,1.646825,0.098289,0.121891,0.056022,0.391988
97,0.09219,1,0.285136,0.098536,0.02207,0.950509,0.020173,0.055952,0.060676,0.041756,0.015707,2.059643,1.595983,0.103195,2.788393,0.066099,0.076077,0.01256,0.354586
98,0.085313,1,0.300147,0.082813,0.037789,0.968673,0.02618,0.027109,0.03845,0.019816,0.013357,4.074205,4.004253,1.462487,1.42817,0.067111,0.069229,0.071843,0.421224
99,0.135575,1,0.271646,0.087058,0.043262,0.992916,0.054898,0.070191,0.062269,0.011351,0.033961,1.635663,1.28293,0.259257,1.92439,0.128829,0.082691,0.038446,0.417281
100,0.081742,1,0.297875,0.079505,0.028812,0.966616,0.037338,0.043146,0.024787,0.083366,0.053137,1.286397,1.374528,1.379987,2.229391,0.094182,0.07858,0.030846,0.404417
101,0.079317,1,0.225454,0.108741,0.022927,1.001607,0.053225,0.017604,0.062006,0.005483,0.010937,3.708455,4.389711,2.786098,1.764015,0.085793,0.125717,0.087162,0.353235
102,0.08076,1,0.290827,0.105993,0.0113,1.017599,0.038461,0.051668,0.026735,0.038411,0.013506,3.553076,3.440724,0.468846,1.40217,0.134528,0.093231,0.014633,0.429563
103,0.120153,1,0.306867,0.07397,0.002006,0.961757,0.048136,0.064772,0.032482,0.083118,0.044751,0.313667,1.315099,0.382641,0.151083,0.126891,0.082987,0.079107,0.400472
104,0.137807,1,0.272399,0.137195,0.037879,0.97282,0.012507,0.026249,0.067742,0.073892,0.025895,3.398116,1.70793,2.001912,2.627337,0.12352,0.076619,0.037506,0.414679
105,0.149261,1,0.302775,0.070161,0.062277,1.026233,0.005161,0.064873,0.005465,0.013326,0.039057,2.345261,0.987938,0.715631,0.843277,0.06502,0.121566,0.012096,0.413479
106,0.068531,1,0.251587,0.081853,0.015016,1.004846,0.0484,0.057073,0.00512,0.02404,0.051354,4.102693,3.764485,3.367092,0.703541,0.079198,0.089165,0.046539,0.361317
107,0.084121,1,0.289289,0.076339,0.055619,0.956025,0.066161,0.069534,0.008336,0.051589,0.002947,4.104393,3.114733,2.483388,1.81163,0.092677,0.099797,0.023073,0.426762
108,0.089805,1,0.239539,0.065892,0.027265,0.950134,0.030966,0.037985,0.026802,0.018014,0.002841,2.796985,3.755236,0.182804,2.64638,0.115398,0.119092,0.085349,0.374617
109,0.076777,1,0.223366,0.064639,0.046865,0.995069,0.055613,0.003259,0.065309,0.053378,0.053049,3.184492,1.461504,1.483099,0.182792,0.105968,0.110378,0.053945,0.42112
110,0.108449,1,0.231599,0.07434,0.008176,0.993864,0.012211,0.074009,0.010152,0.070613,0.002474,1.059524,3.30311,1.607173,2.205803,0.096196,0.095564,0.082612,0.427032
111,0.094278,1,0.24317,0.086405,0.005787,0.952076,0.070129,0.055012,0.03574,0.057954,0.030768,0.828587,2.144533,2.750155,2.772459,0.117161,0.108365,0.073622,0.407997
112,0.091491,1,0.306074,0.069883,0.036161,0.9624,0.06811,0.011264,0.007554,0.023408,0.019531,3.634496,4.488511,1.74631,0.912865,0.116862,0.085079,0.073457,0.369143
113,0.066018,1,0.28548,0.140971,0.046096,0.986393,0.051101,0.047576,0.040364,0.028607,0.024213,2.170935,1.643196,0.770126,0.525455,0.068611,0.073139,0.081677,0.404427
114,0.138358,1,0.260243,0.109564,0.052125,1.01522,0.023409,0.03961,0.007936,0.010085,0.055124,1.942609,2.933844,2.86283,1.7782,0.108333,0.091516,0.083277,0.380233
115,0.117459,1,0.297163,0.100861,0.055732,0.986243,0.040855,0.035551,0.015153,0.015108,0.010227,1.662355,3.392805,0.217796,0.834678,0.120219,0.11202,0.014409,0.357595
116,0.136981,1,0.247932,0.113975,0.011865,1.036066,0.063283,0.003837,0.00029,0.020159,0.024683,2.144721,1.977134,2.090388,2.306925,0.079536,0.096816,0.036859,0.369809
117,0.111834,1,0.248478,0.059373,0.046684,1.016044,0.035046,0.026526,0.052648,0.048436,0.047947,3.856299,1.99777,3.497591,0.952567,0.085724,0.060733,0.082665,0.395943
118,0.148218,1,0.278363,0.092918,0.020432,1.013515,0.026774,0.003592,0.054135,0.041274,0.059448,1.095646,4.548744,0.403789,1.304891,0.133221,0.06146,0.084505,0.378132
119,0.075551,1,0.230711,0.057784,0.058561,1.038193,0.044182,0.03319,0.051767,0.036069,0.030875,2.978934,2.050641,0.441583,0.222695,0.063081,0.111451,0.055029,0.384073
120,0.130292,1,0.222027,0.138659,0.013898,1.030785,0.053707,0.041046,0.0164,0.005953,0.040692,1.144676,3.471642,3.081585,1.766224,0.094091,0.087074,0.032004,0.414082
121,0.113204,1,0.248545,0.123453,0.018262,1.03593,0.070825,0.069463,0.024449,0.046047,0.033993,1.138648,3.266722,2.517585,1.293277,0.128066,0.100494,0.071205,0.372001
122,0.118995,1,0.295173,0.066395,0.063058,0.96161,0.015317,0.021988,0.005201,0.004365,0.041382,3.271941,4.54477,3.18727,0.461261,0.099822,0.105224,0.035156,0.374307
123,0.133011,1,0.264185,0.06034,0.010682,1.005339,0.013976,0.079698,0.045756,0.02383,0.05507,2.166889,3.560461,1.531608,2.779703,0.138324,0.116577,0.062689,0.404133
124,0.146906,1,0.297693,0.055442,0.019676,1.021212,0.075777,0.004818,0.035333,0.02822,0.011301,2.469599,2.415183,2.234549,0.284455,0.078129,0.126328,0.041624,0.377245
125,0.13199,1,0.251768,0.096768,0.013561,1.003559,0.050921,0.012118,0.02548,0.022306,0.02513,3.470205,1.324126,3.371216,0.529992,0.069498,0.096628,0.057342,0.36443
126,0.082722,1,0.27314,0.119367,0.044059,0.964635,0.063407,0.044961,0.044977,0.004966,0.060346,1.277651,3.023798,1.571254,1.163313,0.086053,0.082732,0.067272,0.417849
127,0.123894,1,0.230507,0.063624,0.061296,1.008302,0.076145,0.042848,0.014545,0.02086,0.059764,0.761862,1.302424,2.076431,1.230619,0.080737,0.135443,0.045628,0.382332
128,0.075935,1,0.221045,0.120177,0.023427,1.009666,0.031479,0.021057,0.049758,0.068494,0.0142,0.704638,3.042413,1.101274,0.241202,0.121194,0.108064,0.085236,0.351613
129,0.148136,1,0.225248,0.078934,0.0381,1.008074,0.010869,0.035722,0.06767,0.083384,0.05636,1.441311,2.905508,1.221747,1.03764,0.10213,0.126966,0.055943,0.398451
130,0.096285,1,0.29243,0.113201,0.025568,0.960908,0.016489,0.021428,0.041664,0.033547,0.002061,0.19412,3.901941,1.249457,2.702583,0.122972,0.105316,0.049183,0.399493
131,0.133091,1,0.270816,0.05287,0.042973,1.035318,0.020293,0.027829,0.060892,0.029115,0.018546,1.187761,3.000018,1.88932,2.050017,0.139835,0.062999,0.040086,0.368222
132,0.147282,1,0.3003,0.135455,0.007617,0.951532,0.03226,0.024663,0.025267,0.070556,0.050989,2.969016,3.70079,1.052524,1.616845,0.108267,0.102961,0.051457,0.426947
133,0.073849,1,0.267354,0.05183,0.05854,0.999663,0.066287,0.075219,0.052433,0.007671,0.032831,0.717524,2.726552,0.549416,0.451658,0.107967,0.128132,0.057053,0.364222
134,0.067382,1,0.295995,0.140678,0.060161,0.960659,0.038797,0.060611,0.043778,0.068425,0.012767,0.270613,2.367033,0.422013,1.46419,0.065913,0.129668,0.025806,0.404284
135,0.097448,1,0.272054,0.086914,0.04648,0.967618,0.021619,0.067247,0.001401,0.022708,0.059269,3.473213,2.810325,2.626481,1.596267,0.128878,0.085988,0.079816,0.392275
136,0.086912,1,0.300732,0.090146,0.029231,1.017257,0.021997,0.04091,0.000768,0.029552,0.054663,1.053929,1.046285,2.71149,2.641787,0.10087,0.129048,0.031428,0.401525
137,0.11876,1,0.230235,0.135774,0.006161,0.951037,0.012918,0.064594,0.03103,0.047688,0.021186,3.993652,2.955399,2.022579,0.31322,0.102624,0.111098,0.063942,0.4031
138,0.109646,1,0.251675,0.084289,0.011925,1.013938,0.051288,0.030085,0.048844,0.027624,0.029797,2.753572,4.327381,1.048121,1.17228,0.105593,0.11867,0.089003,0.364405
139,0.110489,1,0.254019,0.105888,0.027917,0.957128,0.031683,0.009815,0.007115,0.06438,0.04948,2.818533,2.297698,3.360504,0.545515,0.13956,0.122852,0.050393,0.385428
140,0.074045,1,0.304069,0.096266,0.054128,1.004728,0.073169,0.004141,0.066391,0.055644,0.033483,3.152586,3.151856,3.535533,1.730926,0.070708,0.127899,0.038418,0.415925
141,0.073653,1,0.294668,0.059699,0.031548,1.027157,0.065956,0.044768,0.057824,0.059224,0.045792,2.672209,4.235011,0.986896,2.128063,0.09261,0.073054,0.068246,0.363344
142,0.136659,1,0.300866,0.071055,0.062022,0.957457,0.009443,0.011468,0.058876,0.022465,0.056249,1.348729,1.961457,3.54208,0.5106,0.107549,0.060388,0.080754,0.356874
143,0.082461,1,0.306359,0.139841,0.062373,0.961483,0.018099,0.081168,0.044123,0.030191,0.024493,0.442974,0.958325,0.113262,1.547992,0.110223,0.074028,0.031499,0.396969
144,0.097994,1,0.234978,0.091254,0.039765,0.973188,0.01466,0.019352,0.024874,0.013166,0.041168,2.699269,1.33165,1.461776,2.477805,0.122828,0.077949,0.024455,0.426455
145,0.099826,1,0.258187,0.13349,0.042329,0.9746,0.006271,0.06194,0.053342,0.078888,0.01433,2.317558,3.565884,3.401418,0.649454,0.10547,0.099168,0.032624,0.400954
