Solution,D_RT,O_RT,R_RT,C_RT,D_TT,O_TT,R_TT,D_Cont,O_Cont,R_Cont,C_Cont,D_Ins,O_Ins,R_Ins,C_Ins,D_JLA,R_JLA,O_JLA,C_JLA
13,0.106307,1,0.214325,0.082126,0.045195,0.109478,0.065141,0.078276,0.117257,0.042656,0.007716,1.736943,0.9813,2.936101,0.933209,0.093117,0.135446,0.097691,0.399258
14,0.115081,1,0.236279,0.054665,0.021291,0.100839,0.042113,0.074997,0.121771,0.099239,0.022954,3.781813,1.744228,0.807649,1.398077,0.084972,0.148113,0.022885,0.334456
15,0.10386,1,0.232594,0.084493,0.036549,0.047963,0.07671,0.101115,0.104705,0.035746,0.050935,3.046166,0.109421,3.781527,0.472256,0.153626,0.115706,0.080947,0.36842
16,0.088881,1,0.212486,0.130469,0.00351,0.050958,0.053137,0.106543,0.092788,0.094927,0.011349,1.499965,2.42254,4.455943,2.421725,0.098878,0.104344,0.021134,0.347656
17,0.114567,1,0.172684,0.051805,0.010257,0.054097,0.073539,0.056334,0.073263,0.05124,0.010252,1.539499,1.814721,2.107534,1.783975,0.114506,0.096655,0.027163,0.400412
18,0.037987,1,0.229086,0.09978,0.027047,0.036332,0.015579,0.08003,0.069083,0.060702,0.003627,2.863185,1.378968,2.98738,0.284854,0.143245,0.110006,0.058434,0.3505
19,0.056135,1,0.181071,0.136277,0.02325,0.063865,0.069548,0.078395,0.1226,0.074821,0.020921,2.077646,1.919286,4.526454,1.246404,0.164437,0.09272,0.038138,0.348541
20,0.063294,1,0.221511,0.100395,0.020275,0.092825,0.044024,0.127617,0.103275,0.070505,0.025323,2.100853,0.413324,4.233406,2.544719,0.12194,0.159506,0.085725,0.368891
21,0.056495,1,0.175618,0.058623,0.022143,0.06145,0.044095,0.10415,0.094486,0.050615,0.000583,0.597668,1.72105,2.358388,2.556847,0.13822,0.102485,0.085284,0.378098
22,0.060949,1,0.194535,0.113487,0.011138,0.073657,0.030704,0.065071,0.109614,0.05635,0.031886,1.068658,1.427213,2.844951,0.683205,0.104886,0.12526,0.070778,0.372601
23,0.092331,1,0.181813,0.071998,0.04417,0.03238,0.046597,0.073181,0.076539,0.04619,0.047313,4.102558,0.780066,1.153064,2.131309,0.13611,0.114478,0.090578,0.346804
24,0.034863,1,0.163657,0.083497,0.017679,0.069031,0.051672,0.126653,0.073722,0.047019,0.012906,2.324618,2.967506,3.567085,1.014554,0.08598,0.114965,0.068075,0.365072
25,0.065448,1,0.216355,0.092327,0.010034,0.062648,0.014404,0.067065,0.087608,0.033641,0.059557,3.132742,3.040177,3.990952,1.26394,0.110394,0.130394,0.055969,0.402004
26,0.109021,1,0.241987,0.124882,0.0272,0.044843,0.004776,0.104389,0.095705,0.0368,0.034527,2.468334,2.01654,1.172781,1.966453,0.162928,0.140799,0.0501,0.404355
27,0.075921,1,0.20578,0.076589,0.031283,0.046114,0.065017,0.056499,0.122103,0.066781,0.05215,1.21453,0.789569,4.26768,0.50872,0.112967,0.131955,0.036728,0.401188
28,0.085194,1,0.229519,0.086384,0.006037,0.09184,0.052525,0.060273,0.08231,0.069771,0.004126,2.709587,3.306765,1.742442,0.183082,0.141609,0.092658,0.085962,0.389738
29,0.067197,1,0.19818,0.087518,0.049131,0.0765,0.039595,0.077749,0.067542,0.065365,0.025629,1.088063,2.001436,2.039176,0.562116,0.121603,0.127736,0.081042,0.342029
30,0.034805,1,0.211305,0.068953,0.016929,0.03759,0.0737,0.049113,0.06811,0.044193,0.028686,3.572175,1.084193,3.020484,2.231818,0.133137,0.081757,0.022803,0.373033
31,0.070322,1,0.211665,0.129163,0.031067,0.036912,0.004636,0.124286,0.057475,0.078812,0.016999,1.443683,2.369455,2.845165,1.556447,0.149825,0.107457,0.074132,0.379115
32,0.027552,1,0.173468,0.10708,0.006476,0.067951,0.039114,0.063103,0.127816,0.105478,0.019982,3.215401,3.216474,3.832681,2.702238,0.150836,0.126898,0.060421,0.384845
33,0.073127,1,0.181202,0.076926,0.024057,0.034548,0.016564,0.07268,0.057691,0.073035,0.014036,1.787367,2.692757,2.397231,1.089496,0.107762,0.138192,0.038238,0.364762
34,0.050813,1,0.216744,0.118364,0.012961,0.109564,0.027006,0.119413,0.050853,0.066137,0.05483,4.108705,0.836063,2.264311,1.808858,0.133511,0.100884,0.097221,0.342449
35,0.110797,1,0.199323,0.108307,0.030111,0.059075,0.048741,0.102563,0.090919,0.04093,0.046062,3.676547,1.934707,0.855553,0.850511,0.144057,0.094238,0.053284,0.387988
36,0.053206,1,0.188836,0.123704,0.002045,0.048601,0.013358,0.051314,0.125512,0.077142,0.002425,0.991923,2.777483,4.205937,1.750712,0.154037,0.111179,0.032953,0.402371
37,0.045257,1,0.22034,0.099201,0.012651,0.11447,0.025946,0.04779,0.069414,0.10938,0.013896,3.636048,0.165493,4.310007,0.815728,0.105142,0.101286,0.037195,0.340239
38,0.027226,1,0.241535,0.130881,0.027349,0.057352,0.073929,0.065732,0.123701,0.088278,0.006282,2.138051,0.888335,3.030851,2.314765,0.104676,0.135979,0.057444,0.366357
39,0.062941,1,0.155662,0.130516,0.020988,0.026794,0.027051,0.054849,0.084249,0.048604,0.002128,3.372208,1.960406,2.784105,0.382296,0.131945,0.10006,0.078158,0.388144
40,0.087398,1,0.206313,0.114456,0.020568,0.088906,0.034971,0.105334,0.058912,0.043325,0.031638,1.618215,0.501192,1.19205,1.992894,0.085813,0.128583,0.022347,0.356319
41,0.058087,1,0.221844,0.105416,0.014012,0.093234,0.011125,0.115572,0.119936,0.095313,0.004209,3.452665,3.255094,1.661335,1.548345,0.102565,0.082731,0.081872,0.403317
42,0.055067,1,0.189604,0.126751,0.016026,0.104607,0.006931,0.087329,0.072911,0.085493,0.002942,3.590908,1.351676,2.443982,1.140742,0.132709,0.09285,0.060598,0.330403
43,0.081866,1,0.238393,0.102322,0.001673,0.040968,0.064737,0.092059,0.119033,0.050174,0.059438,2.229593,3.249413,1.335491,0.741096,0.125063,0.105187,0.047008,0.359616
44,0.062355,1,0.233116,0.102493,0.039064,0.114635,0.039657,0.058867,0.060473,0.098078,0.060129,2.968885,1.12547,4.218205,2.646095,0.155144,0.095894,0.072481,0.37688
45,0.081032,1,0.157985,0.079404,0.051178,0.061233,0.027709,0.100899,0.084437,0.100162,0.030851,2.252245,1.677122,1.046347,2.526206,0.122622,0.102096,0.034502,0.362815
46,0.108421,1,0.173893,0.101879,0.04902,0.043731,0.075295,0.117293,0.094683,0.061535,0.024228,2.372571,0.233367,3.491444,0.113251,0.096438,0.148666,0.094017,0.341963
47,0.036068,1,0.162095,0.074144,0.04588,0.085283,0.059976,0.062151,0.062364,0.060042,0.01302,0.694956,2.643253,3.915517,1.28356,0.124625,0.154698,0.058122,0.365997
48,0.068917,1,0.219316,0.074519,0.045353,0.070094,0.023042,0.123054,0.070449,0.038274,0.011169,1.953659,0.973495,3.288166,0.407119,0.133333,0.115129,0.052067,0.335236
49,0.086771,1,0.180885,0.081666,0.050781,0.072226,0.026435,0.088012,0.115587,0.060188,0.028127,1.968045,2.683264,0.785632,0.253972,0.153107,0.094858,0.020975,0.343596
50,0.087931,1,0.157164,0.130309,0.030936,0.102014,0.07193,0.09638,0.079732,0.057207,0.051258,1.393885,0.755346,3.862286,2.253923,0.150119,0.136982,0.056817,0.378222
51,0.099645,1,0.179476,0.105903,0.030992,0.095128,0.055151,0.084189,0.050014,0.033829,0.027773,3.038205,0.336336,4.047041,2.271729,0.121481,0.11052,0.056325,0.384655
52,0.108156,1,0.154542,0.059744,0.038614,0.038913,0.003305,0.075748,0.121188,0.052174,0.003534,1.704117,2.623937,3.426324,2.035931,0.104174,0.119522,0.037349,0.338317
53,0.087067,1,0.205587,0.110878,0.01583,0.060736,0.059706,0.06103,0.066481,0.03696,0.011089,0.433684,2.385127,3.961685,1.963873,0.138599,0.121945,0.091626,0.325959
54,0.059088,1,0.186217,0.098419,0.005061,0.095864,0.00944,0.060882,0.072257,0.097932,0.047517,4.134115,2.029764,2.823102,2.590482,0.106901,0.160154,0.067672,0.364232
55,0.106214,1,0.237882,0.122869,0.045518,0.046394,0.026741,0.106654,0.052197,0.044108,0.006898,3.750904,2.450852,3.131838,2.669448,0.093037,0.097442,0.024889,0.352493
56,0.064714,1,0.171927,0.125164,0.001883,0.028279,0.014984,0.108867,0.067636,0.107355,0.036969,2.489852,2.893373,1.605981,1.565722,0.143447,0.125346,0.068177,0.326389
57,0.114464,1,0.228789,0.076256,0.022657,0.086517,0.023474,0.126975,0.09215,0.032778,0.048676,0.731539,1.615755,3.485264,1.820666,0.1614,0.082474,0.041262,0.385365
58,0.067642,1,0.178258,0.11899,0.033928,0.072969,0.07427,0.11264,0.125101,0.106027,0.014748,0.479937,0.515814,4.031223,1.244395,0.159827,0.089408,0.03245,0.338031
59,0.110693,1,0.20032,0.079427,0.039957,0.114539,0.001597,0.066658,0.105172,0.078488,0.055642,3.098612,0.309217,4.185531,0.345066,0.106028,0.101771,0.033803,0.389306
60,0.04818,1,0.232403,0.071292,0.044427,0.108878,0.006212,0.065961,0.086389,0.04523,0.057057,2.872403,2.988764,3.899734,2.410401,0.138129,0.135892,0.095956,0.355738
61,0.047807,1,0.205881,0.12182,0.004006,0.104965,0.005549,0.080737,0.077585,0.065943,0.021652,0.79511,0.880297,3.331559,2.377228,0.138899,0.129205,0.080632,0.388649
62,0.065165,1,0.234064,0.132321,0.016716,0.041553,0.043639,0.096128,0.100305,0.064588,0.049265,3.070115,2.540305,3.573794,2.403525,0.093621,0.110411,0.050559,0.381032
63,0.102336,1,0.169363,0.072677,0.048112,0.076655,0.06775,0.106759,0.127667,0.104441,0.058721,4.202221,1.01174,3.885074,1.103303,0.152508,0.098241,0.035914,0.351048
64,0.101638,1,0.204349,0.128018,0.003323,0.107943,0.06324,0.049636,0.071538,0.036919,0.056054,2.431275,0.132195,2.507451,1.018382,0.149395,0.089849,0.022639,0.361032
65,0.106449,1,0.178662,0.139183,0.024367,0.102613,0.025351,0.112927,0.051405,0.104214,0.032031,1.56756,1.398564,2.049265,1.569132,0.110151,0.089236,0.096491,0.395414
66,0.075333,1,0.176463,0.051917,0.035899,0.054645,0.017637,0.07452,0.058141,0.041593,0.045072,1.445322,0.543848,2.124922,0.854798,0.10745,0.133405,0.060111,0.350653
67,0.101976,1,0.159885,0.138125,0.02193,0.054288,0.062836,0.090742,0.112168,0.099013,0.047673,1.895949,1.067894,2.77196,2.56198,0.157059,0.08759,0.069335,0.344337
68,0.10572,1,0.161654,0.137461,0.006721,0.051028,0.01345,0.049551,0.111092,0.049662,0.006936,2.583196,3.129488,4.302014,2.55849,0.11314,0.12033,0.045818,0.350261
69,0.108635,1,0.213403,0.096486,0.040441,0.043636,0.059015,0.097568,0.067848,0.104548,0.010907,3.013238,3.226506,3.692494,0.883163,0.128277,0.097093,0.081556,0.364991
70,0.051635,1,0.21156,0.081892,0.029891,0.095647,0.059111,0.053219,0.123759,0.046411,0.027045,2.235181,2.986953,0.817941,0.565477,0.115124,0.129741,0.093837,0.404528
71,0.103656,1,0.188052,0.103424,0.030223,0.102571,0.022446,0.053164,0.125051,0.041489,0.042583,2.39455,3.132891,1.403512,2.378324,0.104242,0.085915,0.031683,0.40108
72,0.031947,1,0.217632,0.090793,0.041785,0.027216,0.018427,0.076345,0.078829,0.054216,0.017908,3.848373,0.941852,1.631845,0.568179,0.096315,0.094378,0.021804,0.404236
73,0.059489,1,0.161526,0.096329,0.002849,0.054029,0.020188,0.095081,0.050725,0.039706,0.021434,0.632795,3.077958,4.195301,0.124018,0.085656,0.107627,0.078536,0.35335
74,0.089149,1,0.167769,0.138347,0.023884,0.03548,0.004477,0.089118,0.059559,0.078224,0.018022,2.0529,2.436111,1.541545,1.188447,0.095861,0.144378,0.023038,0.362379
75,0.108765,1,0.225329,0.09179,0.039913,0.074998,0.040236,0.07438,0.070182,0.051086,0.054002,2.467648,0.882707,2.829347,0.824102,0.114904,0.082246,0.039273,0.392812
76,0.077328,1,0.210867,0.08917,0.009584,0.064669,0.02315,0.101557,0.060438,0.03285,0.005488,0.956642,1.93986,2.229558,0.727735,0.098476,0.157359,0.045014,0.37414
77,0.059964,1,0.162926,0.074254,0.040554,0.093732,0.038918,0.074948,0.103622,0.081904,0.05465,3.470111,1.173676,1.887116,1.063227,0.123013,0.082745,0.045288,0.393288
78,0.070468,1,0.192924,0.104629,0.010991,0.068448,0.049864,0.066383,0.127514,0.096077,0.010469,1.693622,3.260318,3.235131,1.765674,0.115338,0.151091,0.054354,0.400564
79,0.049328,1,0.156344,0.069101,0.028567,0.065261,0.019194,0.121727,0.091207,0.100324,0.056005,4.012536,0.418811,3.457714,1.581031,0.143022,0.145708,0.020375,0.35972
80,0.09764,1,0.195766,0.11299,0.049951,0.076887,0.00713,0.077816,0.06231,0.050777,0.034741,2.066277,2.419107,1.881828,0.862576,0.090154,0.123569,0.059245,0.379959
81,0.103555,1,0.235585,0.091772,0.048079,0.02765,0.070782,0.04925,0.104775,0.079539,0.059203,3.653769,1.595253,4.637971,0.306825,0.091204,0.139875,0.087165,0.351165
82,0.063711,1,0.226162,0.094321,0.050458,0.067194,0.074186,0.092189,0.113778,0.030873,0.039223,0.976173,1.946783,3.104665,0.351157,0.134539,0.086367,0.068345,0.374408
83,0.091359,1,0.242574,0.064976,0.018346,0.055754,0.039792,0.119021,0.107357,0.074552,0.028351,3.62625,0.947886,2.536173,2.357248,0.106458,0.128081,0.064501,0.349698
84,0.112657,1,0.208604,0.062779,0.004297,0.046755,0.052584,0.111002,0.120132,0.064409,0.03145,0.5799,2.170463,2.672105,2.468163,0.151117,0.090551,0.093665,0.400096
85,0.052947,1,0.175905,0.070832,0.022442,0.058627,0.004997,0.057398,0.052655,0.049165,0.04754,0.632071,0.211352,2.211668,1.745004,0.131379,0.087375,0.048201,0.356097
86,0.029827,1,0.212791,0.062057,0.045595,0.054182,0.012332,0.093552,0.113431,0.087572,0.006703,3.609027,2.255366,4.543961,1.804595,0.123538,0.124618,0.053156,0.374849
87,0.041292,1,0.176641,0.071932,0.02548,0.053464,0.014263,0.075923,0.083989,0.032446,0.038692,2.608461,2.228336,2.927793,2.477811,0.116525,0.149166,0.095074,0.337762
88,0.069542,1,0.211451,0.054197,0.003449,0.088049,0.07262,0.124186,0.093209,0.083746,0.052319,2.717106,1.522304,2.099158,0.704283,0.144944,0.109955,0.030929,0.392742
89,0.05496,1,0.206648,0.070695,0.032876,0.101684,0.046696,0.066514,0.081728,0.063751,0.040362,1.986035,2.045798,1.112623,1.506822,0.133036,0.152798,0.072206,0.402794
90,0.099737,1,0.167049,0.082235,0.007903,0.027982,0.063321,0.059724,0.112067,0.078729,0.022189,3.759751,1.441836,2.902451,0.343162,0.132067,0.11061,0.025472,0.340952
91,0.069374,1,0.158229,0.054894,0.012995,0.08574,0.02112,0.084287,0.085256,0.097072,0.016043,3.872831,3.028202,1.7775,0.193635,0.108032,0.132883,0.033358,0.377779
92,0.113324,1,0.216456,0.118764,0.018226,0.101811,0.011516,0.126732,0.086034,0.074459,0.031374,3.748486,2.102963,4.106173,0.930141,0.126729,0.119959,0.065453,0.343752
93,0.039973,1,0.208157,0.113529,0.004392,0.05006,0.058826,0.091084,0.06502,0.084988,0.004603,0.560139,2.097696,0.781007,0.363511,0.088811,0.142397,0.057754,0.368256
94,0.049817,1,0.239013,0.05965,0.006084,0.094381,0.040885,0.102032,0.086807,0.055892,0.005377,3.482044,1.079445,1.752922,1.440472,0.161758,0.161435,0.058968,0.389397
95,0.049861,1,0.239262,0.052871,0.036867,0.028205,0.074619,0.09079,0.074121,0.100222,0.032128,0.326516,1.269433,2.28989,2.621387,0.087313,0.09509,0.096046,0.403775
96,0.083584,1,0.22124,0.115848,0.038687,0.110903,0.030192,0.078769,0.124376,0.084623,0.059399,4.099736,1.123136,4.248032,1.237797,0.153817,0.093631,0.04032,0.389963
97,0.055489,1,0.155865,0.108338,0.038092,0.066469,0.064982,0.094086,0.076721,0.035947,0.054592,3.721748,1.33663,2.21321,1.350752,0.15492,0.136354,0.035405,0.339152
98,0.052164,1,0.231075,0.119117,0.048912,0.094009,0.03233,0.121828,0.105493,0.085114,0.004422,2.633259,0.550882,0.804931,1.487129,0.154565,0.105414,0.023761,0.38399
99,0.106695,1,0.158929,0.103645,0.019115,0.111757,0.066147,0.092729,0.061027,0.090674,0.025723,2.346621,0.367755,1.451711,1.172518,0.100369,0.085622,0.083825,0.388556
100,0.087231,1,0.238113,0.086611,0.025364,0.043913,0.053321,0.079672,0.059112,0.037719,0.024147,1.510422,0.976364,1.938833,0.994878,0.099436,0.146642,0.09043,0.400201
101,0.101906,1,0.161466,0.063321,0.00762,0.109643,0.035955,0.127276,0.110728,0.108533,0.013749,0.679259,3.270263,3.122274,1.427919,0.085084,0.107216,0.076953,0.395091
102,0.043079,1,0.20545,0.139485,0.032312,0.091438,0.053885,0.103119,0.054102,0.064779,0.053848,0.264896,2.358325,2.635754,2.215561,0.126883,0.154012,0.093849,0.353694
103,0.115237,1,0.187223,0.100904,0.03892,0.080522,0.063953,0.104461,0.057489,0.099865,0.059722,1.158656,3.267731,2.648698,0.560909,0.122845,0.116837,0.07467,0.350879
104,0.052611,1,0.202783,0.106214,0.042005,0.101282,0.012659,0.114352,0.080555,0.038186,0.048131,4.095673,2.321336,2.009313,2.267416,0.103791,0.1379,0.057835,0.343339
105,0.071649,1,0.225512,0.093572,0.036196,0.044462,0.033831,0.068442,0.091051,0.031498,0.030396,1.239614,0.633479,1.060189,2.520124,0.088615,0.084795,0.091893,0.403027
106,0.105186,1,0.171876,0.08095,0.047482,0.049251,0.05679,0.103033,0.079355,0.092518,0.001774,1.493389,1.446792,1.12126,1.353707,0.127168,0.159983,0.053011,0.358312
107,0.037133,1,0.182225,0.115693,0.015942,0.07103,0.063895,0.116736,0.063661,0.052798,0.01735,3.598248,0.765348,4.107036,1.736155,0.092644,0.125234,0.048965,0.356865
108,0.083249,1,0.191169,0.134562,0.049462,0.034644,0.013589,0.070762,0.112311,0.036236,0.023254,1.671201,2.60966,3.526634,1.292778,0.118022,0.152245,0.070696,0.32753
109,0.069555,1,0.168666,0.133196,0.003252,0.026667,0.049298,0.096064,0.053869,0.03374,0.008535,2.317236,2.241276,2.700426,1.482672,0.121656,0.095054,0.064975,0.332723
110,0.051853,1,0.204566,0.104895,0.00106,0.090998,0.062187,0.086854,0.126515,0.102413,0.054337,2.925647,2.59425,4.619409,2.342486,0.134338,0.115013,0.059809,0.365237
111,0.073926,1,0.201794,0.065719,0.008833,0.107351,0.050464,0.058223,0.078226,0.08164,0.014822,3.280861,0.387873,1.576084,1.603893,0.152818,0.149542,0.082887,0.331704
112,0.046006,1,0.21992,0.105206,0.050069,0.098116,0.037736,0.118676,0.096957,0.085573,0.035225,1.015354,3.261891,3.418744,1.894359,0.120848,0.100244,0.097981,0.328081
113,0.07711,1,0.156214,0.056763,0.013509,0.039118,0.069951,0.056442,0.09643,0.0604,0.024055,4.010066,1.057521,3.177272,0.122432,0.102747,0.102553,0.0901,0.39878
114,0.10173,1,0.197182,0.138567,0.011724,0.086214,0.068855,0.108489,0.088171,0.059596,0.023452,1.993186,0.258977,1.269777,1.747698,0.114281,0.097626,0.096824,0.352727
115,0.037362,1,0.158765,0.108122,0.025672,0.061001,0.036115,0.093937,0.067369,0.047931,0.028607,1.218758,3.042047,3.965355,2.07372,0.110725,0.121728,0.022029,0.355128
116,0.039531,1,0.21827,0.117814,0.041993,0.071311,0.058618,0.064887,0.063595,0.057791,0.037066,2.054516,2.679525,2.876027,2.153662,0.107863,0.154838,0.082794,0.361934
117,0.089012,1,0.183788,0.132519,0.004927,0.045287,0.062408,0.096516,0.10132,0.063217,0.0362,1.781324,2.816344,3.375497,0.186645,0.112222,0.139041,0.041733,0.340184
118,0.082054,1,0.228449,0.110601,0.018144,0.070187,0.041586,0.099838,0.101602,0.106932,0.031281,3.798741,1.04822,2.181682,1.524947,0.130507,0.149266,0.083462,0.387566
119,0.108207,1,0.2071,0.051576,0.031838,0.031089,0.056929,0.082897,0.101993,0.054187,0.059943,3.44992,3.138427,4.192345,2.094197,0.121406,0.100351,0.025844,0.379459
120,0.025753,1,0.182698,0.066989,0.031995,0.033107,0.05385,0.06222,0.118243,0.086108,0.041144,0.700946,0.566819,1.978306,1.092293,0.115857,0.084993,0.05043,0.370624
121,0.066705,1,0.209631,0.088312,0.033488,0.049388,0.045752,0.059237,0.116875,0.10162,0.012591,2.422795,0.770343,3.400657,2.309077,0.119508,0.140649,0.071215,0.363477
122,0.088103,1,0.231879,0.060529,0.045958,0.086008,0.069011,0.084857,0.12856,0.108636,0.05679,1.170059,2.221183,4.340528,0.277299,0.163001,0.145951,0.061092,0.343493
123,0.072692,1,0.239552,0.078296,0.002424,0.093507,0.024889,0.121476,0.091445,0.044006,0.019197,1.070892,0.477604,4.314695,0.453595,0.163984,0.129462,0.049278,0.344252
124,0.033976,1,0.196995,0.058743,0.02399,0.09694,0.03463,0.102369,0.102684,0.066867,0.005743,3.395672,2.57367,4.383613,0.54681,0.091097,0.116688,0.098433,0.348719
125,0.031328,1,0.159053,0.097094,0.015789,0.033456,0.013081,0.0606,0.075464,0.047497,0.041272,1.753933,0.700242,1.146588,2.038258,0.104973,0.130283,0.098047,0.346739
126,0.037691,1,0.168951,0.124407,0.023512,0.047863,0.020905,0.079041,0.080444,0.033156,0.041335,1.706843,1.072179,3.284557,1.185113,0.153728,0.088284,0.058555,0.403978
127,0.04071,1,0.176278,0.101527,0.032981,0.046239,0.044754,0.122847,0.056043,0.038917,0.023851,1.229553,2.579784,3.894962,1.479247,0.107605,0.157431,0.02608,0.359949
128,0.040489,1,0.204279,0.058454,0.049212,0.089124,0.033979,0.104105,0.062712,0.101564,0.060396,3.869405,3.1173,3.273888,1.254625,0.093362,0.161081,0.06158,0.373538
129,0.105223,1,0.186929,0.104682,0.035748,0.098619,0.048373,0.063769,0.055687,0.06458,0.051943,3.30044,2.094988,1.264492,2.322995,0.134916,0.111709,0.064656,0.349351
130,0.106383,1,0.213609,0.119417,0.023107,0.082469,0.034752,0.102834,0.105717,0.103213,0.015384,0.644651,2.858228,0.992206,1.059296,0.152629,0.082918,0.022548,0.365141
131,0.059839,1,0.220818,0.101316,0.03666,0.096053,0.009779,0.054748,0.104376,0.036421,0.006083,0.986242,3.065708,1.359451,1.420301,0.145271,0.11941,0.028376,0.366222
132,0.087983,1,0.198241,0.058522,0.039001,0.067445,0.068018,0.057704,0.091363,0.069633,0.048228,2.834593,2.830876,3.159717,0.458239,0.138672,0.146193,0.031575,0.367894
133,0.038855,1,0.239891,0.063262,0.006928,0.083767,0.005361,0.055277,0.050221,0.096155,0.058415,2.677593,0.953184,0.939637,1.560365,0.11361,0.127335,0.054819,0.361159
134,0.074923,1,0.181419,0.061208,0.011446,0.056479,0.022247,0.056206,0.101401,0.093762,0.024405,2.843398,1.510215,2.432456,0.493126,0.148327,0.136155,0.040706,0.360801
135,0.113691,1,0.235163,0.088117,0.008382,0.066249,0.024423,0.080808,0.082473,0.037556,0.0257,1.745217,0.815743,1.43396,2.37527,0.093975,0.160173,0.044129,0.335736
136,0.090602,1,0.165507,0.097783,0.047161,0.033905,0.008836,0.087786,0.068011,0.098558,0.034452,3.497686,0.242697,1.36371,0.203794,0.099743,0.139429,0.072117,0.390666
137,0.054549,1,0.233328,0.081115,0.035333,0.065501,0.01984,0.100072,0.07858,0.07362,0.05593,1.019324,2.252486,2.08047,2.024149,0.163408,0.15634,0.027743,0.365879
138,0.038086,1,0.199107,0.119483,0.014794,0.045174,0.065537,0.10097,0.086178,0.098486,0.00656,2.660586,0.672548,1.731001,0.707903,0.109308,0.131533,0.06428,0.375563
139,0.09016,1,0.20382,0.112514,0.03164,0.05064,0.072349,0.126436,0.122968,0.102729,0.034783,2.818541,0.320817,3.356741,1.865899,0.15217,0.151691,0.049695,0.325635
140,0.055711,1,0.168038,0.069815,0.013042,0.097012,0.011795,0.095008,0.055918,0.10957,0.020853,2.279112,2.416135,3.839029,1.483921,0.099996,0.115374,0.075107,0.356613
141,0.08613,1,0.157395,0.102981,0.011954,0.045904,0.0731,0.112995,0.097346,0.101338,0.006999,2.400305,3.120054,4.408605,2.72261,0.151664,0.148397,0.07839,0.37003
142,0.078878,1,0.182945,0.118248,0.016899,0.096277,0.00438,0.10947,0.106178,0.069508,0.03931,3.162383,1.671759,3.744855,0.818266,0.118102,0.123151,0.052465,0.337204
143,0.038227,1,0.192629,0.08355,0.039474,0.047459,0.05588,0.055996,0.113526,0.034989,0.044824,3.164367,3.178013,1.87241,0.170109,0.097442,0.103661,0.038434,0.37238
144,0.113476,1,0.175509,0.085432,0.050955,0.048687,0.043629,0.119199,0.12594,0.072884,0.057164,3.560868,1.485827,3.258049,0.442823,0.091525,0.122,0.092617,0.379539
145,0.10465,1,0.207014,0.066439,0.037458,0.10745,0.034187,0.098982,0.091962,0.050515,0.012745,0.539177,0.352691,2.701129,1.391357,0.1339,0.121056,0.069961,0.358215
